# UK TRACK EXCHANGE FORMAT, V1.0
# Lat,Long,DTG,UnitName,CaseNumber,Type,Flag,Sensor,MajorAxis,SemiMajorAxis,SemiMinorAxis,Course,Speed,Depth,Likelihood,Confidence,SuppliedBy,Provenance,InfoCutoffDate,Purpose,Classification,DistributionStatement
22.1862861, -21.6978806,19951212T050000Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,269.7000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1862722, -21.7008278,19951212T050100Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,269.7000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1862528, -21.7041139,19951212T050200Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,269.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1862528, -21.707575,19951212T050300Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,268.7000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1861889, -21.7112028,19951212T050400Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,270.6000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1862194, -21.7148528,19951212T050500Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,269.4000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1861833, -21.7185528,19951212T050600Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,269.0000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1861333, -21.7223167,19951212T050700Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,270.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1861611, -21.7260222,19951212T050800Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,269.9000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1861639, -21.7297944,19951212T050900Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,268.6000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1860972, -21.733575,19951212T051000Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,272.1000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1861944, -21.7372917,19951212T051100Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,269.1000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.18615, -21.7410056,19951212T051200Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,245.8000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.18515, -21.7442389,19951212T051300Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,241.5000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
22.1839667, -21.7474083,19951212T051400Z,NELSON,D-112/12,OILER,UK,S2002,1.0,0.5,0.5,242.3000,2.0000,0.0,Remote,Low,UNIT ALPHA,NELSON,19951212,For planning,PUBLIC,"Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content. Quite a long sentence detailing how this data may be disseminated.  I'll duplicate to get more content."
