STRAND Sensor Data 1.00													

AAA													
PlanetMayo													
BBB													
0													
HMSIanMayo													

22/07/2009													

Time	Brg A	Brg B	Freq	Range	Brg_Acc	Freq_Acc	Range_Acc	Fore Head	Aft Head	Beam	Depth	ID	Dist
04:14:34	59.3	300.8	49.96	0	0	0	0	0	0	9	0	2	0
04:15:22	59.3	300.8	49.92	0	0	0	0	0	0	9	0	2	0
04:16:45	59.3	300.8	49.92	0	0	0	0	0	0	9	0	2	0
04:18:25	59.5	300.5	49.92	0	0	0	0	0	0	9	0	2	0
04:20:36	60	300	49.92	0	0	0	0	0	0	9	0	2	0
04:23:12	60.8	299.3	49.92	0	0	0	0	0	0	9	0	2	0
04:25:35	61.3	298.8	49.92	0	0	0	0	0	0	9	0	2	0
04:27:11	61.3	298.8	49.92	0	0	0	0	0	0	9	0	2	0
04:29:18	61.8	298.3	49.92	0	0	0	0	0	0	9	0	2	0
04:31:34	62	298	49.92	0	0	0	0	0	0	9	0	2	0
04:34:09	62.3	297.8	49.92	0	0	0	0	0	0	9	0	2	0
04:35:57	62.3	297.8	49.92	0	0	0	0	0	0	9	0	2	0
04:37:56	62.5	297.5	49.92	0	0	0	0	0	0	9	0	2	0
04:40:00	63	297	49.92	0	0	0	0	0	0	9	0	2	0
04:41:27	63.5	296.5	49.92	0	0	0	0	0	0	10	0	2	0
04:42:32	63.6	296.2	49.96	0	0	0	0	0	0	10	0	2	0
04:43:12	63.7	295.8	50.06	0	0	0	0	0	0	10	0	2	0
04:43:19	64.5	295.5	50.06	0	0	0	0	0	0	10	0	2	0
04:44:56	66.5	293.5	50.23	0	0	0	0	0	0	10	0	2	0
04:45:44	67	293	50.23	0	0	0	0	0	0	10	0	2	0
04:46:30	67.3	292.8	50.16	0	0	0	0	0	0	11	0	2	0
04:48:18	69.8	290.3	49.96	0	0	0	0	0	0	11	0	2	0
04:49:37	71	289	49.92	0	0	0	0	0	0	11	0	2	0
04:50:49	71.8	288.3	49.96	0	0	0	0	0	0	12	0	2	0
04:52:01	72	288	49.92	0	0	0	0	0	0	12	0	2	0
04:53:13	72	288	49.96	0	0	0	0	0	0	12	0	2	0
04:54:44	71.3	288.8	49.99	0	0	0	0	0	0	12	0	2	0
04:55:56	71.3	288.8	49.99	0	0	0	0	0	0	12	0	2	0
04:57:04	71.3	288.8	49.96	0	0	0	0	0	0	12	0	2	0
04:58:15	70.3	289.8	49.96	0	0	0	0	0	0	11	0	2	0
04:59:19	70.3	289.8	49.96	0	0	0	0	0	0	11	0	2	0
05:00:43	69	291	49.99	0	0	0	0	0	0	11	0	2	0
05:02:11	68.5	291.5	49.99	0	0	0	0	0	0	11	0	2	0
05:03:26	67.8	292.3	49.99	0	0	0	0	0	0	11	0	2	0
05:04:34	67.8	292.3	49.96	0	0	0	0	0	0	11	0	2	0
05:06:02	67	293	49.96	0	0	0	0	0	0	10	0	2	0
05:07:57	66.5	293.5	49.99	0	0	0	0	0	0	10	0	2	0
05:09:13	66	294	49.99	0	0	0	0	0	0	10	0	2	0
05:10:44	65.8	294.3	49.99	0	0	0	0	0	0	10	0	2	0
05:12:00	65.3	294.8	49.99	0	0	0	0	0	0	10	0	2	0
05:13:20	65.3	294.8	49.99	0	0	0	0	0	0	10	0	2	0
05:14:04	65.3	294.8	49.99	0	0	0	0	0	0	10	0	2	0
05:15:35	64.3	295.8	49.99	0	0	0	0	0	0	10	0	2	0
05:16:39	64.3	295.8	49.99	0	0	0	0	0	0	10	0	2	0
05:18:11	64.3	295.8	49.99	0	0	0	0	0	0	10	0	2	0
05:19:11	63.5	296.5	49.96	0	0	0	0	0	0	10	0	2	0
05:20:30	63.5	296.5	49.99	0	0	0	0	0	0	10	0	2	0
05:21:30	62.5	297.5	50.09	0	0	0	0	0	0	9	0	2	0
05:22:22	62.3	297.8	50.2	0	0	0	0	0	0	9	0	2	0
05:23:18	61.8	298.3	50.2	0	0	0	0	0	0	9	0	2	0
05:24:17	61	299	50.2	0	0	0	0	0	0	9	0	2	0
05:25:05	60.5	299.5	50.2	0	0	0	0	0	0	9	0	2	0
05:25:49	60	300	50.2	0	0	0	0	0	0	9	0	2	0
