STRAND Own Ship Data 1.00							

ABC							
PlanetMayo							
DEF							
HMSIanMayo							

999.9	999.9						

22/07/09							

Time	Course	Speed	Depth	Drift-C	Drift-S	Lat	Long
03:50:04	259.28	8.8261	30.98	0	0	5	30
03:50:12	258.91	8.8261	31.1	0	0	5	30
03:50:20	259.01	8.8261	31.1	0	0	5	30
03:50:27	259.62	8.8261	30.98	0	0	5	30
03:50:36	260.36	8.8261	31.1	0	0	5	30
03:50:44	260.56	8.8399	31.1	0	0	5	30
03:50:52	260.29	8.8538	30.86	0	0	5	30
03:51:00	259.43	8.8538	30.98	0	0	5	30
03:51:08	258.85	8.8677	31.1	0	0	5	30
03:51:16	258.8	8.8677	30.98	0	0	5	30
03:51:24	259.18	8.8538	30.98	0	0	5	30
03:51:32	260.1	8.8538	31.1	0	0	5	30
03:51:40	260.69	8.8469	31.1	0	0	5	30
03:51:48	260.78	8.8469	30.86	0	0	5	30
03:51:56	260.29	8.8261	30.98	0	0	5	30
03:52:04	259.54	8.8608	30.98	0	0	5	30
03:52:12	258.98	8.8469	30.86	0	0	5	30
03:52:20	258.85	8.8191	30.98	0	0	5	30
03:52:27	259.15	8.8261	30.98	0	0	5	30
03:52:36	260.16	8.8399	30.98	0	0	5	30
03:52:44	260.72	8.8399	30.98	0	0	5	30
03:52:52	260.68	8.8399	30.98	0	0	5	30
03:53:00	260.22	8.8399	31.1	0	0	5	30
03:53:08	259.37	8.7914	31.1	0	0	5	30
03:53:16	258.66	8.6942	30.98	0	0	5	30
03:53:24	258.75	8.604	30.86	0	0	5	30
03:53:32	258.72	8.4999	30.98	0	0	5	30
03:53:40	257.42	8.3404	30.86	0	0	5	30
03:53:48	255.32	8.2571	30.86	0	0	5	30
03:53:56	252.58	8.1669	30.98	0	0	5	30
03:54:04	249.42	8.0212	31.22	0	0	5	30
03:54:12	245.97	7.8477	31.34	0	0	5	30
03:54:20	242.39	7.5355	31.22	0	0	5	30
03:54:27	239.06	7.251	31.34	0	0	5	30
03:54:36	234.48	6.9942	31.58	0	0	5	30
03:54:44	230.53	6.8624	31.83	0	0	5	30
